State,EST_ST,WEEK,count,anxiety_percentage,depression_percentage
Florida,12,27,2835,18.38694885361552,15.255026455026455
Florida,12,28,2582,20.18861347792409,16.749806351665377
Florida,12,29,2802,18.60349750178444,15.434689507494646
Florida,12,30,2179,23.922441486920604,19.847636530518585
Florida,12,31,2520,20.68531746031746,17.16190476190476
Florida,12,32,2431,21.44261620732209,17.79020979020979
Florida,12,33,2462,21.172623883021934,17.566206336311943
Florida,12,34,2511,20.759458383114296,17.22341696535245
Florida,12,35,2775,18.784504504504504,15.584864864864866
Florida,12,36,2728,19.108137829912025,15.853372434017595
Florida,12,37,2472,21.08697411003236,17.49514563106796
Florida,12,38,2186,23.84583714547118,19.784080512351327
Florida,12,39,2203,23.66182478438493,19.631411711302768
Georgia,13,1,1778,17.589988751406075,14.659730033745781
Georgia,13,2,999,31.306306306306308,26.09109109109109
Georgia,13,3,3079,10.157518674894446,8.465410847677818
Georgia,13,4,2449,12.770518579011842,10.643119640669662
Georgia,13,5,2755,11.352087114337568,9.460980036297642
Georgia,13,6,2056,15.211575875486382,12.677529182879377
Georgia,13,7,1947,16.06317411402157,13.387262455059066
Georgia,13,8,2610,11.982758620689655,9.986590038314176
Georgia,13,9,2505,12.48502994011976,10.405189620758483
Georgia,13,10,2266,13.801853486319505,11.502647837599294
Georgia,13,11,2276,13.74121265377856,11.452108963093146
Georgia,13,12,2194,14.25478577939836,11.880127620783956
Georgia,13,13,2624,11.918826219512194,9.933307926829269
Georgia,13,14,2501,12.50499800079968,10.421831267493003
Georgia,13,15,2246,13.924755120213714,11.605075690115761
Georgia,13,16,2071,15.101400289715114,12.585707387735393
Georgia,13,17,1786,17.511198208286675,14.594064949608063
Georgia,13,18,1176,26.59438775510204,22.164115646258505
Georgia,13,19,1433,21.824842986741103,18.18911374738311
Georgia,13,20,1374,22.762008733624455,18.970160116448326
Georgia,13,21,1341,23.322147651006713,19.436987322893362
Georgia,13,22,1510,20.711920529801326,17.26158940397351
Georgia,13,23,1731,18.067590987868286,15.057770075101098
