week;sum;sentiments;count
25;11346;sadness;893
25;11346;surprise;332
25;11346;trust;1798
26;14314;anger;727
26;14314;anticipation;1562
26;14314;disgust;394
26;14314;fear;1357
26;14314;joy;1024
26;14314;negative;1993
26;14314;positive;3430
26;14314;sadness;1092
26;14314;surprise;558
26;14314;trust;2177
27;12236;anger;769
27;12236;anticipation;1151
27;12236;disgust;401
27;12236;fear;1320
27;12236;joy;792
27;12236;negative;1894
27;12236;positive;2761
27;12236;sadness;918
27;12236;surprise;375
27;12236;trust;1855
28;9542;anger;631
28;9542;anticipation;858
28;9542;disgust;358
28;9542;fear;1055
28;9542;joy;584
28;9542;negative;1441
28;9542;positive;2198
28;9542;sadness;728
28;9542;surprise;258
28;9542;trust;1431
29;9098;anger;450
29;9098;anticipation;862
29;9098;disgust;239
29;9098;fear;917
29;9098;joy;669
29;9098;negative;1313
29;9098;positive;2214
29;9098;sadness;729
29;9098;surprise;278
29;9098;trust;1427
30;9965;anger;585
30;9965;anticipation;903
30;9965;disgust;323
30;9965;fear;1052
30;9965;joy;665
30;9965;negative;1472
30;9965;positive;2338
30;9965;sadness;735
30;9965;surprise;298
30;9965;trust;1594
31;6120;anger;390
31;6120;anticipation;564
31;6120;disgust;202
31;6120;fear;675
31;6120;joy;404
31;6120;negative;950
31;6120;positive;1424
31;6120;sadness;451
31;6120;surprise;166
31;6120;trust;894
32;7873;anger;512
32;7873;anticipation;766
32;7873;disgust;294
32;7873;fear;808
32;7873;joy;527
32;7873;negative;1164
32;7873;positive;1784
32;7873;sadness;551
32;7873;surprise;213
32;7873;trust;1254
33;6808;anger;463
33;6808;anticipation;646
33;6808;disgust;240
33;6808;fear;696
33;6808;joy;499
33;6808;negative;918
33;6808;positive;1584
33;6808;sadness;437
33;6808;surprise;219
33;6808;trust;1106
34;8127;anger;523
34;8127;anticipation;705
34;8127;disgust;295
34;8127;fear;859
34;8127;joy;519
34;8127;negative;1247
34;8127;positive;1893
34;8127;sadness;569
34;8127;surprise;240
34;8127;trust;1277
35;8252;anger;530
35;8252;anticipation;707
35;8252;disgust;338
35;8252;fear;857
35;8252;joy;549
35;8252;negative;1240
35;8252;positive;1852
35;8252;sadness;647
35;8252;surprise;267
35;8252;trust;1265
36;6016;anger;346
36;6016;anticipation;540
36;6016;disgust;207
36;6016;fear;672
36;6016;joy;378
36;6016;negative;886
36;6016;positive;1424
36;6016;sadness;442
36;6016;surprise;198
36;6016;trust;923
37;7373;anger;479
37;7373;anticipation;635
37;7373;disgust;325
37;7373;fear;802
37;7373;joy;533
37;7373;negative;1105
37;7373;positive;1668
37;7373;sadness;513
37;7373;surprise;216
37;7373;trust;1097
38;7381;anger;479
38;7381;anticipation;668
38;7381;disgust;292
38;7381;fear;796
38;7381;joy;461
38;7381;negative;1148
