state,week,total_cases,total_deaths,total_cases_us,total_deaths_us,percentage_cases,percentage_deaths
Arizona,35,12366176,239126,470282286,8038989,2.629521963325661,2.9745780221866207
Arizona,36,12893919,242384,496698578,8212460,2.595924283076969,2.951417723800177
Arizona,37,13450415,247662,525106961,8480704,2.5614619494636637,2.9203000128291237
Arizona,38,13927126,254721,551080385,8831887,2.527240377100339,2.8841061938405685
Arizona,39,14385191,262566,570984508,9178044,2.519366252227635,2.8608056357106153
Arkansas,1,41110,793,13644993,786250,0.30128267563054084,0.10085850556438793
Arkansas,2,23407,544,7940175,474933,0.2947919913603919,0.1145424723066201
Arkansas,3,27902,594,8896630,534045,0.3136243723747082,0.11122658202960425
Arkansas,4,34976,690,9837494,582599,0.3555377009632738,0.11843480678820253
Arkansas,5,42842,792,10727153,623896,0.39937903374735123,0.1269442342954595
Arkansas,6,55423,927,11646234,661268,0.47588774190867195,0.14018521991083796
Arkansas,7,73067,1073,12570310,693159,0.5812664922344795,0.1547985382863095
Arkansas,8,92023,1335,13688447,718836,0.6722676429254538,0.185716909002888
Arkansas,9,116964,1547,15271347,754416,0.7659049329440292,0.2050592776399228
Arkansas,10,140485,1726,17321941,779487,0.8110234297645975,0.22142768256558482
Arkansas,11,167758,1916,19735326,808303,0.8500391632750327,0.2370398229376855
Arkansas,12,197219,2145,22513159,840740,0.876016555473179,0.25513238337654925
Arkansas,13,750483,9283,75392468,2322210,0.9954349816482994,0.3997485154228085
Arkansas,14,869082,11939,82613109,2473036,1.0519904292671034,0.48276693101111345
Arkansas,15,1004744,15927,89958441,2613757,1.1168979684741314,0.609352743962044
Arkansas,16,1152213,19114,98283032,2744562,1.172341732395883,0.6964317075001403
Arkansas,17,1313524,22521,108710383,2877454,1.2082783297709474,0.7826710696330853
Arkansas,18,1500540,25920,123742353,3032206,1.21263250909735,0.8548231881343155
Arkansas,19,1774549,29204,149140694,3242863,1.1898489623496054,0.9005622500858038
Arkansas,20,2089836,32886,180323778,3537929,1.1589353457312768,0.9295268503127112
Arkansas,21,2471678,39391,218484424,3967089,1.131283390709811,0.9929447007616921
Arkansas,22,3367849,53672,297414902,4959558,1.1323739924773508,1.0821932115724828
Arkansas,23,3734198,60953,331246599,5536919,1.1273166309550549,1.1008468789230978
Arkansas,24,4008602,66812,353902473,6107034,1.1326855011832595,1.0940171611947798
Arkansas,25,4124721,69518,367750323,6540703,1.1216090760578339,1.062852112379969
Arkansas,26,4230295,69772,379269903,6856950,1.1153785118562387,1.017536951560096
Arkansas,27,4277134,72214,389709216,7073156,1.0975193360579905,1.0209586781346263
Arkansas,28,4339738,74140,413555826,7388536,1.0493717479390559,1.0034464202380553
Arkansas,29,4374633,74738,422815728,7515404,1.034642921324819,0.994464169857003
Arkansas,30,4409537,75415,429112805,7628850,1.0275938980660342,0.9885500435845508
Arkansas,31,4441212,75878,432772697,7733730,1.0262227794837067,0.9811307092437931
Arkansas,32,4477620,76256,434955807,7800559,1.029442515294433,0.9775709663884345
Arkansas,33,4535234,76735,437380590,7853097,1.0369079249721622,0.9771304238315152
Arkansas,34,4926353,79191,451183101,7948347,1.0918744494377681,0.9963203669895137
Arkansas,35,5311238,82609,470282286,8038989,1.1293723276661967,1.027604341789745
Arkansas,36,5709632,87593,496698578,8212460,1.1495164779795282,1.0665866256882834
Arkansas,37,6065085,92574,525106961,8480704,1.1550189676499072,1.091583906241746
Arkansas,38,6331861,97462,551080385,8831887,1.148990450821435,1.103524082679047
Arkansas,39,6491532,101546,570984508,9178044,1.136901598738297,1.1064013203684795
California,1,634659,25555,13644993,786250,4.651222613305848,3.2502384737678858
California,2,402636,16434,7940175,474933,5.070870604237312,3.4602775549393283
California,3,477185,19519,8896630,534045,5.36366017244732,3.6549354455148912
California,4,563788,22539,9837494,582599,5.731012389944024,3.8686987104337636
California,5,668052,25289,10727153,623896,6.2276728969932655,4.05339992562863
California,6,782103,27767,11646234,661268,6.715501337170454,4.199053938796373
California,7,909174,30397,12570310,693159,7.232709455852719,4.385285338573112
California,8,1067298,32994,13688447,718836,7.797071501244809,4.5899203712668815
California,9,1292996,35583,15271347,754416,8.466810426087495,4.716628491442387
California,10,1606894,38291,17321941,779487,9.276639378924106,4.912333367971499
California,11,1945526,42128,19735326,808303,9.858088992297366,5.211906921043222
California,12,2324898,46151,22513159,840740,10.326840404760611,5.489330827604253
California,13,8854558,161363,75392468,2322210,11.744618839112682,6.948682505027539
California,14,9698620,181041,82613109,2473036,11.739807540713667,7.320597031341235
California,15,10333628,197826,89958441,2613757,11.487113254886221,7.568645440260896
California,16,10931663,211691,98283032,2744562,11.122635085169126,7.71310686368171
California,17,11554595,222337,108710383,2877454,10.628786948529102,7.726865485946951
California,18,12369592,231115,123742353,3032206,9.996247606508662,7.622008531082651
California,19,13810093,239525,149140694,3242863,9.259775202601645,7.386220139426179
California,20,16451995,252608,180323778,3537929,9.123586019809323,7.139996308574875
California,21,21855695,281535,218484424,3967089,10.003319504368879,7.096765411615419
California,22,36491858,404581,297414902,4959558,12.269680421057046,8.15760194759291
California,23,41940921,498240,331246599,5536919,12.661540111389943,8.998506208958448
California,24,44679761,585561,353902473,6107034,12.62487956675002,9.588304240651025
California,25,46055258,653692,367750323,6540703,12.523512589817631,9.994216218042617
California,26,46887487,712570,379269903,6856950,12.362564661504395,10.391938106592582
California,27,47428824,754366,389709216,7073156,12.170311107038332,10.66519669578898
California,28,48395624,794817,413555826,7388536,11.702319483222562,10.757435573163615
California,29,48743438,806088,422815728,7515404,11.528293479186754,10.725810615104656
California,30,49031345,815625,429112805,7628850,11.42621344054275,10.691323069663186
California,31,49283623,821225,432772697,7733730,11.387877133108514,10.618744124762566
California,32,49459004,822034,434955807,7800559,11.371041196376073,10.538142202372933
California,33,49863456,826770,437380590,7853097,11.400472983952032,10.527948400484547
California,34,52073263,836029,451183101,7948347,11.541492330848623,10.518275057694385
California,35,54050180,840744,470282286,8038989,11.493135422923414,10.4583300213497
California,36,56592918,849012,496698578,8212460,11.393815184226277,10.338096015079525
California,37,58973497,866713,525106961,8480704,11.230758946271138,10.219823731614735
California,38,60690607,888019,551080385,8831887,11.013022537537784,10.054691596484421
California,39,61984948,906396,570984508,9178044,10.855802063197133,9.875699005147503
Colorado,1,190215,9793,13644993,786250,1.3940278313077918,1.2455325914149444
Colorado,2,115741,5829,7940175,474933,1.4576630867707576,1.227331013006045
Colorado,3,130161,7129,8896630,534045,1.4630371275415521,1.334906234493348
Colorado,4,143498,7978,9837494,582599,1.4586844983082075,1.3693809979076517
Colorado,5,156503,8679,10727153,623896,1.458942554469019,1.3910972341544103
Colorado,6,167270,9186,11646234,661268,1.4362582788564955,1.3891493312847438
Colorado,7,174267,9597,12570310,693159,1.386338125312741,1.3845308219326302
Colorado,8,182482,9891,13688447,718836,1.3331095923445515,1.3759744920955546
Colorado,9,192732,10064,15271347,754416,1.262049772033862,1.33401200398719
Colorado,10,203975,10221,17321941,779487,1.1775527927268659,1.3112470124581936
Colorado,11,220444,10349,19735326,808303,1.1170020702976986,1.2803367054186363
Colorado,12,240020,10528,22513159,840740,1.0661320341583338,1.2522301781763685
Colorado,13,727990,25094,75392468,2322210,0.9656004363725034,1.0806085582268614
Colorado,14,781639,25765,82613109,2473036,0.9461440314514733,1.0418368353715837
Colorado,15,865237,26428,89958441,2613757,0.9618185802041634,1.0111115914754125
Colorado,16,975111,27239,98283032,2744562,0.9921458263517958,0.9924716585014294
Colorado,17,1152028,28803,108710383,2877454,1.0597221426402297,1.0009890688087455
Colorado,18,1517026,30581,123742353,3032206,1.2259553525703524,1.0085396572660301
Colorado,19,2266231,34471,149140694,3242863,1.5195255830041934,1.0629804589339729
Colorado,20,3114837,41392,180323778,3537929,1.7273578862128764,1.169949990517051
Colorado,21,3838872,53400,218484424,3967089,1.7570460766576201,1.3460751699798013
Colorado,22,4762578,69121,297414902,4959558,1.6013246034322786,1.3936927443937546
Colorado,23,5079296,73104,331246599,5536919,1.5333881209147147,1.320301055514809
Colorado,24,5327661,76058,353902473,6107034,1.5054037217761969,1.2454163510470058
Colorado,25,5530483,78040,367750323,6540703,1.5038689714488707,1.193143917404597
Colorado,26,5727874,79187,379269903,6856950,1.5102368932237684,1.1548428966231343
Colorado,27,5913412,79993,389709216,7073156,1.5173908538000804,1.1309378727119832
Colorado,28,6448477,82529,413555826,7388536,1.5592760625260784,1.1169871812223695
Colorado,29,6745417,83948,422815728,7515404,1.5953562162663921,1.1170124719842074
Colorado,30,6968891,85832,429112805,7628850,1.624023081762848,1.1250974917582597
Colorado,31,7108984,87450,432772697,7733730,1.6426600035722678,1.1307609652780741
Colorado,32,7211359,88966,434955807,7800559,1.6579521146616167,1.1405080071825622
Colorado,33,7287827,90194,437380590,7853097,1.6662438083957958,1.148515038079881
Colorado,34,7477757,92027,451183101,7948347,1.6573663737463429,1.1578130647793812
Colorado,35,7652046,93085,470282286,8038989,1.6271176329188806,1.1579192358641117
Colorado,36,7898078,94303,496698578,8212460,1.590114880498007,1.1482917420602354
Colorado,37,8212248,96262,525106961,8480704,1.563919088857784,1.1350708620416419
Colorado,38,8552729,98779,551080385,8831887,1.551993000077475,1.1184359582499188
Colorado,39,8895731,101812,570984508,9178044,1.557963635678886,1.1092995413837632
Connecticut,1,351580,28116,13644993,786250,2.576622794896267,3.5759618441971384
Connecticut,2,198831,17619,7940175,474933,2.504113574322984,3.709786433033712
Connecticut,3,222217,20172,8896630,534045,2.497766008027759,3.777209785692217
Connecticut,4,241514,22098,9837494,582599,2.4550358048503003,3.793003420877825
Connecticut,5,253263,23486,10727153,623896,2.360952621818669,3.7644094528575276
Connecticut,6,262756,24352,11646234,661268,2.2561456347176265,3.682621871918798
Connecticut,7,269816,25106,12570310,693159,2.1464546220419387,3.6219684084026897
Connecticut,8,274148,25515,13688447,718836,2.002769196534859,3.549488339482163
Connecticut,9,277438,25874,15271347,754416,1.8167225196310448,3.429672753494094
Connecticut,10,280806,26007,17321941,779487,1.6211000834144396,3.336425110361045
Connecticut,11,284110,26135,19735326,808303,1.4396012510763694,3.2333172090169158
Connecticut,12,287580,26389,22513159,840740,1.2773862610751339,3.1387825011299566
Connecticut,13,676288,58006,75392468,2322210,0.897023294157183,2.4978791754406364
Connecticut,14,699396,58158,82613109,2473036,0.8465920342012548,2.3516843264715916
Connecticut,15,729012,58444,89958441,2613757,0.8103875432879055,2.2360150541921073
Connecticut,16,769147,58767,98283032,2744562,0.7825837119066493,2.141215975445262
Connecticut,17,837354,59272,108710383,2877454,0.7702612914168465,2.0598765436389255
Connecticut,18,970166,60335,123742353,3032206,0.7840209729970142,1.9898054419785463
Connecticut,19,1232401,62127,149140694,3242863,0.8263344945947483,1.9158071124188718
Connecticut,20,1558688,65659,180323778,3537929,0.8643829545319309,1.8558597416737308
Connecticut,21,2006870,71088,218484424,3967089,0.918541451723808,1.7919436644854705
Connecticut,22,2793110,83895,297414902,4959558,0.9391291361722016,1.6915821934132034
Connecticut,23,3172033,90055,331246599,5536919,0.9576046998145934,1.626446043368162
Connecticut,24,3425656,94834,353902473,6107034,0.9679661096914686,1.5528651060400187
Connecticut,25,3594394,98401,367750323,6540703,0.9774006371165036,1.5044407306064806
Connecticut,26,3742535,100543,379269903,6856950,0.9867735273473571,1.466293322833038
Connecticut,27,3909718,102003,389709216,7073156,1.0032398104744846,1.4421143828865077
Connecticut,28,4313982,104266,413555826,7388536,1.043143810045128,1.4111861943962918
Connecticut,29,4431166,105504,422815728,7515404,1.048013521389157,1.4038367065829063
Connecticut,30,4492831,106507,429112805,7628850,1.0470046448509036,1.396108194550948
Connecticut,31,4518231,107136,432772697,7733730,1.0440194197371004,1.3853082535852685
Connecticut,32,4530524,107436,434955807,7800559,1.041605590059406,1.3772859098944064
Connecticut,33,4540398,107595,437380590,7853097,1.0380885900766654,1.3700964090982195
Connecticut,34,4591140,107755,451183101,7948347,1.0175780054315466,1.355690686377935
Connecticut,35,4678046,107901,470282286,8038989,0.9947314919703354,1.3422210180907077
Connecticut,36,4787020,108440,496698578,8212460,0.9637676071623462,1.3204326109350912
Connecticut,37,4898611,109250,525106961,8480704,0.9328787016403692,1.2882185252545073
Connecticut,38,5015837,110285,551080385,8831887,0.910182459134342,1.2487138931917947
Connecticut,39,5100942,112526,570984508,9178044,0.893359089175148,1.2260346540068885
Delaware,1,58309,1855,13644993,786250,0.4273289110518415,0.23593004769475356
Delaware,2,38052,1322,7940175,474933,0.4792337700365546,0.27835505218630835
Delaware,3,45719,1708,8896630,534045,0.5138912149881472,0.31982323586963646
Delaware,4,52445,1956,9837494,582599,0.533113412826478,0.33573693054742626
Delaware,5,56617,2169,10727153,623896,0.5277914839100365,0.34765409619551974
Delaware,6,59298,2370,11646234,661268,0.5091603002309587,0.3584023421668673
Delaware,7,61515,2516,12570310,693159,0.4893674062135301,0.36297588287824295
Delaware,8,64233,2672,13688447,718836,0.46924972569934337,0.3717120455848065
Delaware,9,67164,3044,15271347,754416,0.43980403300376847,0.4034909121757757
Delaware,10,72485,3072,17321941,779487,0.41845772364655903,0.394105353905838
Delaware,11,76578,3103,19735326,808303,0.3880250065289015,0.38389069445492596
Delaware,12,80769,3136,22513159,840740,0.3587635124861864,0.3730047339248757
Delaware,13,220924,7822,75392468,2322210,0.2930319246214356,0.3368343086973185
Delaware,14,237291,7933,82613109,2473036,0.2872316547244336,0.32077980263934697
Delaware,15,257028,8145,89958441,2613757,0.28571860199311366,0.3116203992949612
Delaware,16,279010,8409,98283032,2744562,0.28388420088627303,0.3063876859039803
Delaware,17,302871,8710,108710383,2877454,0.2786035626422179,0.30269814912766635
Delaware,18,331601,9218,123742353,3032206,0.2679769633926389,0.3040030921381991
Delaware,19,384918,9613,149140694,3242863,0.2580905249106592,0.2964355879357222
Delaware,20,474933,10074,180323778,3537929,0.26337791125915744,0.2847428537994968
Delaware,21,610796,10812,218484424,3967089,0.27956043218897836,0.2725424108206294
Delaware,22,864743,12810,297414902,4959558,0.2907530840536027,0.25828914592792346
Delaware,23,980081,13768,331246599,5536919,0.29587654724871604,0.2486581436354767
Delaware,24,1054833,15919,353902473,6107034,0.29805753858069256,0.26066663457252737
Delaware,25,1108996,17953,367750323,6540703,0.30156220964080566,0.2744811987335306
Delaware,26,1156310,19235,379269903,6856950,0.30487786952079876,0.2805183062440298
Delaware,27,1204797,19923,389709216,7073156,0.3091528120289565,0.2816705866518425
Delaware,28,1321402,20855,413555826,7388536,0.31952203715297195,0.2822616009450316
Delaware,29,1367184,21174,422815728,7515404,0.32335220983075635,0.28174134085140334
Delaware,30,1397073,21482,429112805,7628850,0.32557243310415773,0.281588968193109
Delaware,31,1415407,21663,432772697,7733730,0.3270555212497613,0.28011063225636273
Delaware,32,1422288,21836,434955807,7800559,0.32699597915702733,0.27992865639500963
Delaware,33,1426552,22023,437380590,7853097,0.32615804921750186,0.28043713200027964
Delaware,34,1443115,22611,451183101,7948347,0.31985129691282477,0.28447424351251904
Delaware,35,1471768,23864,470282286,8038989,0.31295416472480103,0.2968532485863583
Delaware,36,1526422,24217,496698578,8212460,0.3073135433860654,0.29488119272422636
Delaware,37,1596584,24621,525106961,8480704,0.3040492925402297,0.2903178792704002
Delaware,38,1677452,25063,551080385,8831887,0.3043933418170926,0.28377854019192045
Delaware,39,1759469,25694,570984508,9178044,0.30814653906511946,0.2799507171680589
District of Columbia,1,55707,2683,13644993,786250,0.408259645131368,0.34124006359300474
District of Columbia,2,36801,1887,7940175,474933,0.4634784497822781,0.39731920081358846
District of Columbia,3,42476,2276,8896630,534045,0.4774392101278798,0.4261813143087193
District of Columbia,4,48316,2569,9837494,582599,0.4911413414839185,0.44095509947665545
District of Columbia,5,52291,2779,10727153,623896,0.4874639151692905,0.44542680190288125
District of Columbia,6,55783,2912,11646234,661268,0.4789788699076457,0.4403660845527078
District of Columbia,7,58336,3069,12570310,693159,0.46407765600052825,0.4427555582485404
District of Columbia,8,60011,3193,13688447,718836,0.43840619757668636,0.44419032992226326
District of Columbia,9,61427,3289,15271347,754416,0.40223694740221677,0.43596636338571826
District of Columbia,10,62838,3347,17321941,779487,0.3627653506036073,0.4293849672925912
District of Columbia,11,64922,3408,19735326,808303,0.3289634029860971,0.42162406919187484
District of Columbia,12,67412,3466,22513159,840740,0.29943376671394717,0.4122558698289602
District of Columbia,13,177922,7852,75392468,2322210,0.23599439668164202,0.3381261815253573
District of Columbia,14,186650,7967,82613109,2473036,0.2259326664488562,0.322154630987984
District of Columbia,15,195289,8073,89958441,2613757,0.217088021789973,0.3088657438315804
District of Columbia,16,203527,8216,98283032,2744562,0.20708254096190276,0.29935559845250354
District of Columbia,17,214026,8334,108710383,2877454,0.19687723848788208,0.28963104188633426
District of Columbia,18,227842,8433,123742353,3032206,0.1841261253533784,0.2781143497506436
District of Columbia,19,251069,8622,149140694,3242863,0.16834372515391405,0.2658761717655047
District of Columbia,20,283995,8922,180323778,3537929,0.15749170916328073,0.2521814315663203
District of Columbia,21,329422,9367,218484424,3967089,0.1507759656129995,0.23611771755057673
District of Columbia,22,419984,10768,297414902,4959558,0.14121148509229708,0.21711612204152064
District of Columbia,23,464456,11545,331246599,5536919,0.14021457168228918,0.2085094616699287
District of Columbia,24,496793,12466,353902473,6107034,0.14037567914932317,0.20412527587041432
District of Columbia,25,518851,13013,367750323,6540703,0.14108784344969835,0.19895414911822168
District of Columbia,26,543117,13441,379269903,6856950,0.14320065887221217,0.19602009639854454
District of Columbia,27,565575,13669,389709216,7073156,0.14512743778684464,0.19325178180715935
District of Columbia,28,608865,14246,413555826,7388536,0.1472267978640446,0.19281221611426133
District of Columbia,29,623184,14397,422815728,7515404,0.14738902995585823,0.1915665478529165
District of Columbia,30,631667,14584,429112805,7628850,0.1472030180968382,0.19116904907030546
District of Columbia,31,636624,14740,432772697,7733730,0.1471035498341523,0.19059367213492068
District of Columbia,32,639576,14804,434955807,7800559,0.14704390416380853,0.18978127080379753
District of Columbia,33,641367,14833,437380590,7853097,0.14663819443839518,0.18888089628843244
District of Columbia,34,652534,14910,451183101,7948347,0.14462731395606948,0.1875861735779779
District of Columbia,35,671695,14942,470282286,8038989,0.14282804604722024,0.1858691434955316
District of Columbia,36,701403,15030,496698578,8212460,0.14121300745902277,0.1830145900254004
District of Columbia,37,733751,15120,525106961,8480704,0.13973362657441518,0.1782870856004407
District of Columbia,38,774171,15206,551080385,8831887,0.1404824089320472,0.17217158688737752
District of Columbia,39,802936,15322,570984508,9178044,0.1406230797421215,0.16694188870744137
Florida,1,434917,15820,13644993,786250,3.1873742991293588,2.0120826709062003
Florida,2,241481,10213,7940175,474933,3.0412553879479987,2.1504085839476303
Florida,3,271085,11772,8896630,534045,3.047052648025151,2.204308625677611
Florida,4,303073,13309,9837494,582599,3.0807947633818125,2.2844186138321554
Florida,5,333598,14659,10727153,623896,3.1098465734570953,2.3495903163347736
Florida,6,379223,16126,11646234,661268,3.2561856476522792,2.438648172904178
Florida,7,446547,17506,12570310,693159,3.552394491464411,2.5255388734763597
Florida,8,570434,18875,13688447,718836,4.1672660163713235,2.625772777100757
Florida,9,809325,20448,15271347,754416,5.2996307398423985,2.7104409238404275
Florida,10,1158056,22347,17321941,779487,6.685486343591633,2.866885528559168
Florida,11,1575207,25230,19735326,808303,7.981661919341996,3.12135424463351
Florida,12,2060812,29631,22513159,840740,9.153810889000518,3.524395175678569
Florida,13,7872909,137681,75392468,2322210,10.442567021416515,5.928878094573704
Florida,14,8455776,157127,82613109,2473036,10.235392545267846,6.353607468714567
Florida,15,8941522,175972,89958441,2613757,9.939614226973987,6.732530988917486
Florida,16,9373486,193200,98283032,2744562,9.537237312743873,7.0393745887321915
Florida,17,9898874,209270,108710383,2877454,9.10573003868453,7.272748756365871
Florida,18,10633807,219497,123742353,3032206,8.59350638014779,7.23885514374683
Florida,19,11697548,229750,149140694,3242863,7.8432972827657625,7.084788965799666
Florida,20,13147604,243263,180323778,3537929,7.291109439821075,6.875858729782311
Florida,21,14918045,261121,218484424,3967089,6.827967287956417,6.582181544200294
Florida,22,19530028,302688,297414902,4959558,6.56659362683851,6.10312451230533
Florida,23,21682097,333537,331246599,5536919,6.54560592182865,6.023873565786316
Florida,24,23284328,364419,353902473,6107034,6.579306384219587,5.9672010995845115
Florida,25,24434638,392488,367750323,6540703,6.64435527905709,6.000700536318496
Florida,26,25395034,414080,379269903,6856950,6.695768316738805,6.038836508943481
Florida,27,26235439,427284,389709216,7073156,6.732055061279331,6.040924305925106
Florida,28,28325151,449209,413555826,7388536,6.849172280793839,6.079810668852395
Florida,29,29244718,460351,422815728,7515404,6.9166580293342355,6.12543251167868
Florida,30,29857039,470786,429112805,7628850,6.957853192006238,6.171126709792433
Florida,31,30064478,479213,432772697,7733730,6.946944252354256,6.196401994897675
Florida,32,29974539,486031,434955807,7800559,6.891398739274678,6.230720131723893
Florida,33,30264912,492037,437380590,7853097,6.919582782583013,6.265515375653708
Florida,34,32779524,504526,451183101,7948347,7.2652375337967285,6.347558806881482
Florida,35,36220966,522028,470282286,8038989,7.701962646324296,6.493702130952039
Florida,36,40363237,558122,496698578,8212460,8.126304118390289,6.796039189231971
Florida,37,43618894,613087,525106961,8480704,8.306668400840339,7.229199368354325
Florida,38,45679877,677361,551080385,8831887,8.28914950402381,7.66949350688024
Florida,39,46660766,724919,570984508,9178044,8.171984589116033,7.898404060821675
Georgia,1,322279,13761,13644993,786250,2.361884685466676,1.750206677265501
Georgia,2,191120,8363,7940175,474933,2.4069998457212844,1.7608799556990142
Georgia,3,215121,9515,8896630,534045,2.4180054694867605,1.7816850639927346
Georgia,4,243580,10808,9837494,582599,2.476037088307246,1.8551353503868013
Georgia,5,268458,12014,10727153,623896,2.502602507860194,1.92564145306269
Georgia,6,294886,12980,11646234,661268,2.532028808626033,1.9628955279856277
Georgia,7,326392,14497,12570310,693159,2.596531032249801,2.0914393378719747
Georgia,8,366601,15619,13688447,718836,2.6781781746314977,2.1728182784390317
Georgia,9,433300,16396,15271347,754416,2.8373397579139548,2.1733367266866024
Georgia,10,529357,16909,17321941,779487,3.0559912425518596,2.1692472100240288
Georgia,11,643769,17660,19735326,808303,3.2620135081629766,2.184824255260713
Georgia,12,772903,18628,22513159,840740,3.4331166052707216,2.2156671503675334
Georgia,13,3144929,66882,75392468,2322210,4.1714100671170495,2.880101282829718
Georgia,14,3500616,77475,82613109,2473036,4.237361409555474,3.132789009136947
Georgia,15,3788869,85230,89958441,2613757,4.211799312973866,3.260823404777108
Georgia,16,4187207,91890,98283032,2744562,4.260355948318729,3.348075212001041
Georgia,17,4580703,97411,108710383,2877454,4.213675707498887,3.385319105014364
Georgia,18,4934575,104789,123742353,3032206,3.98778177428063,3.4558667847764966
Georgia,19,5410229,114363,149140694,3242863,3.6276007941869977,3.5266059651610324
Georgia,20,6014155,120788,180323778,3537929,3.3351979792703768,3.414087733247332
Georgia,21,6970795,128348,218484424,3967089,3.190522634235931,3.2353193991866576
Georgia,22,9722733,147817,297414902,4959558,3.2690806461338644,2.9804470479022527
Georgia,23,11107329,170695,331246599,5536919,3.3531903523030584,3.082851672563749
Georgia,24,12000616,193173,353902473,6107034,3.3909387233923063,3.1631230479476615
Georgia,25,12569010,213201,367750323,6540703,3.417810730243737,3.259603745958194
Georgia,26,13012583,226756,379269903,6856950,3.430955869967884,3.3069513413398086
Georgia,27,13302252,235132,389709216,7073156,3.413378861432931,3.3242869236872483
Georgia,28,13815348,249683,413555826,7388536,3.3406246826758523,3.379329815811955
Georgia,29,14042116,255152,422815728,7515404,3.3210959456077758,3.3950536790836523
Georgia,30,14198836,258792,429112805,7628850,3.3088819150945636,3.3922806189661614
Georgia,31,14294203,262781,432772697,7733730,3.3029354899438124,3.3978558858403383
Georgia,32,14363659,266795,434955807,7800559,3.302326068266517,3.420203603357144
Georgia,33,14424124,269277,437380590,7853097,3.2978427323443866,3.428927466450497
Georgia,34,14851426,272289,451183101,7948347,3.291662734504766,3.4257311614603636
Georgia,35,15653964,275157,470282286,8038989,3.328631433929876,3.4227811482264747
Georgia,36,16996142,281212,496698578,8212460,3.421822157904386,3.4242115030088427
Georgia,37,18509759,293961,525106961,8480704,3.5249502243791433,3.4662334636369816
Georgia,38,19594053,313944,551080385,8831887,3.555570753983559,3.5546650449671744
Georgia,39,20233296,334578,570984508,9178044,3.54358055542901,3.6454172588407725
Guam,1,14012,78,13644993,786250,0.10268968258173529,0.009920508744038157
Guam,2,6719,36,7940175,474933,0.08462030118983524,0.0075800165497028
Guam,3,6736,36,8896630,534045,0.07571406251580655,0.006741004971491166
Guam,4,6811,36,9837494,582599,0.06923511211290193,0.006179207310688827
Guam,5,6857,36,10727153,623896,0.06392189987408588,0.005770192467975431
Guam,6,6890,36,11646234,661268,0.05916075531369196,0.00544408621012963
Guam,7,6923,36,12570310,693159,0.05507421853558107,0.005193613586493143
Guam,8,7098,36,13688447,718836,0.05185394661644232,0.005008096422549789
Guam,9,7317,36,15271347,754416,0.04791325873218649,0.0047719030349303295
Guam,10,7560,36,17321941,779487,0.04364406968018192,0.00461842211608404
Guam,11,7681,36,19735326,808303,0.03892005634971523,0.00445377537878741
Guam,12,7718,36,22513159,840740,0.034282172484101404,0.0042819420986274
Guam,13,25700,114,75392468,2322210,0.034088285848395364,0.0049091167465474695
Guam,14,35012,257,82613109,2473036,0.042380683191574356,0.01039208487058013
Guam,15,40856,475,89958441,2613757,0.04541652739402187,0.018173074237582146
Guam,16,49234,726,98283032,2744562,0.05009409966106866,0.02645230823716134
Guam,17,62513,879,108710383,2877454,0.057504166828296434,0.030547838471092846
Guam,18,75727,1083,123742353,3032206,0.061197316976831694,0.03571657070792683
Guam,19,93200,1288,149140694,3242863,0.06249132781962246,0.03971798993667016
Guam,20,101980,1469,180323778,3537929,0.05655382841413183,0.04152146637199333
Guam,21,105404,1544,218484424,3967089,0.04824325600437311,0.03892022588855455
Guam,22,109253,1633,297414902,4959558,0.036734205066832865,0.032926321256853935
Guam,23,110901,1685,331246599,5536919,0.03347989091353659,0.030432086869972275
Guam,24,112246,1698,353902473,6107034,0.0317166475409173,0.027804004366112915
Guam,25,113011,1705,367750323,6540703,0.03073036050059431,0.026067534330789826
Guam,26,113427,1737,379269903,6856950,0.029906670448353503,0.025331962461444226
Guam,27,113843,1755,389709216,7073156,0.029212293506551305,0.02481212064317541
Guam,28,115126,1781,413555826,7388536,0.02783807959218546,0.024104910634528954
Guam,29,116578,1799,422815728,7515404,0.02757182202077402,0.023937502228755764
Guam,30,117968,1820,429112805,7628850,0.027491139538471706,0.02385680672709517
Guam,31,118893,1820,432772697,7733730,0.027472389275980596,0.023533275663877584
Guam,32,119866,1820,434955807,7800559,0.02755820202211946,0.023331661230945114
Guam,33,121114,1828,437380590,7853097,0.027690757836327396,0.023277440734528046
Guam,34,123344,1872,451183101,7948347,0.02733790333162323,0.023552066863713927
Guam,35,126818,1872,470282286,8038989,0.026966356967993474,0.023286510281330153
Guam,36,138114,1893,496698578,8212460,0.027806401330184603,0.02305034058004544
Guam,37,163561,2023,525106961,8480704,0.03114813021874985,0.023854151730799706
Guam,38,190944,2361,551080385,8831887,0.034649028562321264,0.02673267898468357
Guam,39,214774,2674,570984508,9178044,0.03761468078219733,0.0291347481010115
Hawaii,1,7856,200,13644993,786250,0.05757423254083018,0.02543720190779014
Hawaii,2,3726,102,7940175,474933,0.04692591787964371,0.021476713557491266
Hawaii,3,3775,102,8896630,534045,0.04243179720860595,0.01909951408589164
Hawaii,4,3801,102,9837494,582599,0.03863788887698432,0.017507754046951676
Hawaii,5,3844,102,10727153,623896,0.0358342982522949,0.016348878659263724
Hawaii,6,3955,102,11646234,661268,0.03395947565539212,0.015424910928700616
Hawaii,7,4253,102,12570310,693159,0.03383369224784433,0.014715238495063902
