state,week,Negative,Positive,Anxiety,Depression,Covid Cases,Covid Deaths
Alabama,1,2.380952380952381,3.0303030303030303,18.69807497467072,16.181357649442756,0.0579110784529927,0.11368641372067
Alaska,1,5.846153846153846,5.279503105590062,13.55677454744926,11.401535929786068,0.0240416430271193,0.0992312305763045
Arizona,1,3.209109730848861,5.301556420233463,18.17585848074922,15.514568158168574,0.0397927194418579,0.0856358054613023
Arkansas,1,5.257936507936508,5.809859154929577,20.946067415730337,17.864044943820225,0.0414848994511894,0.0493360168476587
California,1,4.3760683760683765,4.068209500609013,23.458088851634535,19.735331098072088,0.0615479632941357,0.159477838789778
Colorado,1,8.78316559926807,6.65352390340069,19.0107223476298,15.631489841986456,0.135715538746738,0.501406220959732
Connecticut,1,3.2351721277478225,2.9411764705882355,21.731172545281225,17.470924690181125,0.394061593335676,1.03861869181181
Delaware,1,4.245709123757904,3.9890301670406383,13.274308300395257,10.968379446640316,0.20804557542875,0.382971695191692
Florida,1,1.1377245508982037,1.6513761467889907,19.663145982648057,16.31384383251603,0.0651913625063865,0.147643724679731
Georgia,1,2.0788530465949826,1.7241379310344829,17.589988751406075,14.65973003374578,0.10401757578438,0.246846434108541
Hawaii,1,3.6496350364963503,4.154002026342452,19.630105017502917,16.36872812135356,0.0706307897737837,0.141793690180787
Idaho,1,0.7532956685499058,2.7081243731193583,15.322860962566844,12.683823529411764,0.0480612089278451,0.13525644240964
Illinois,1,1.8909899888765296,2.2613726005784907,20.9769820971867,17.218670076726344,0.176014123183674,0.395459650624303
Indiana,1,6.527651858567543,5.537459283387622,21.12274678111588,17.935622317596568,0.111942380147403,0.365205887129463
Iowa,1,3.5023041474654377,5.446853516657853,16.925893635571054,13.933740191804707,0.087013660874326,0.119624045796795
Kansas,1,5.763688760806916,5.831265508684863,21.07751196172249,17.50334928229665,0.0596882131673316,0.131154148875991
Kentucky,1,3.097893432465923,2.821011673151751,16.936244541484715,14.28646288209607,0.0472687497605568,0.175936984570923
Louisiana,1,4.042179261862917,5.011520737327189,22.03542857142857,18.864,0.248152990346086,0.707797680596033
Maine,1,1.7114914425427872,3.785103785103785,12.417102966841188,9.924083769633508,0.0899286751109684,0.320784891219217
Maryland,1,1.37221269296741,2.4498886414253898,18.587128111718275,15.198542805100182,0.223428647501423,0.502466193468949
Massachusetts,1,3.3848176141965167,4.064587973273942,19.730707823310272,15.753060138371474,0.42342756112954,0.76459014712073
Michigan,1,4.491017964071856,3.2891731384193696,16.928280773143438,14.091556459816887,0.218880469819841,0.808816643162272
Minnesota,1,5.099778270509978,4.71976401179941,18.249490142760028,14.636301835486064,0.0412188964051988,0.202633955620591
Mississippi,1,3.136762860727729,3.626943005181347,17.080856123662308,14.74435196195006,0.0907384767374529,0.15544568180768
Missouri,1,5.578231292517007,5.574468085106383,19.870242214532873,16.532006920415224,0.056973391240664,0.162168977796143
Montana,1,1.9444444444444444,4.40852314474651,13.363333333333332,10.816666666666666,0.0193412216046401,0.0477014903688996
Nebraska,1,7,8.80195599022005,16.552816901408452,13.879401408450704,0.0880639928120802,0.126866399921928
Nevada,1,2.979991485738612,2.998537298878596,20.57388316151203,17.67611683848797,0.0708359725465112,0.197988298625316
New Hampshire,1,0.8278867102396514,0.949448293559148,13.765477057538238,11.11944646758922,0.117795360822351,0.241273372530325
New Jersey,1,1.8412698412698412,1.9453450671607224,19.50255661066472,15.860482103725348,0.56952825690993,1.01358947995393
New Mexico,1,5.207646671061306,5.782178217821782,20.53694968553459,17.42374213836478,0.0766661421540288,0.138250211365028
New York,1,1.0498687664041997,0.8333333333333334,18.316843345111895,15.17550058892815,0.714603799889675,1.65675444161873
North Carolina,1,6.862745098039215,5.591397849462367,17.021291696238467,13.92902767920511,0.048329373573526103,0.134990262649572
North Dakota,1,3.2989690721649483,4.394426580921758,12.911764705882351,10.635549872122764,0.042547744108995,0.0615032236172379
Ohio,1,2.0833333333333335,1.5145631067961165,16.62124711316397,14.041570438799075,0.0796375152288008,0.224899312532803
Oklahoma,1,3.8310412573673873,3.6446469248291566,21.332320162107397,17.965552178318134,0.0369273956031186,0.167046071630219
Oregon,1,1.779935275080906,1.864125932062966,22.104750304506695,18.557856272838,0.0587913758636376,0.178112396401188
Pennsylvania,1,5.729166666666667,4.784688995215311,18.37289058247142,15.296679368535656,0.202610167235811,0.404246688948237
Rhode Island,1,1.7045454545454546,2.3255813953488373,16.67146017699115,13.321902654867255,0.273359353635444,0.423591514761767
South Carolina,1,4.285714285714286,4.178019981834696,15.35093419983753,12.825345247766045,0.0474754710990535,0.106694533439197
South Dakota,1,4.68384074941452,7.049608355091384,18.369631901840492,14.77760736196319,0.0901146294868554,0.0382246193305722
Tennessee,1,0.847457627118644,1.6959798994974875,18.86522462562396,15.920965058236272,0.0589713694381893,0.0785980968871505
Utah,1,6.502242152466367,6.6473988439306355,18.669676048858204,15.688263409453,0.0532118160903435,0.0959481617055114
Vermont,1,6.031273268801192,5.920114122681883,13.522232734153263,10.915799432355724,0.201806076581303,0.899926953981008
Virginia,1,1.3756613756613756,1.3127413127413128,16.64913203577065,13.726459758022092,0.111579442841477,0.238761545580781
Washington,1,0.6341154090044389,0.8064516129032258,19.43267716535433,16.328346456692913,0.158783504445503,0.600763594968423
West Virginia,1,7.630057803468208,8.515057113187954,16.490425531914894,14.170212765957446,0.0352965100621378,0.0763624137361166
Wisconsin,1,3.3007334963325183,4.324531190202832,16.950325732899024,13.95928338762215,0.0477150736990046,0.188546817218227
Wyoming,1,1.0452961672473868,1.3544018058690743,16.120104438642297,13.403394255874671,0.0418519740849226,0.0484313047180606
Alabama,2,1.1904761904761905,3.2323232323232323,31.709621993127147,27.441580756013742,0.0372548814105165,0.0812094701261741
Alaska,2,3.7948717948717943,2.536231884057971,30.662531017369727,25.787841191067,0.0119156984570353,0.0523417479962925
Arizona,2,3.8302277432712217,2.821011673151751,33.397705544933075,28.507648183556405,0.0271274938215714,0.0658688540414183
Arkansas,2,4.9603174603174605,3.6971830985915495,32.87830687830688,28.040564373897706,0.0236204583180246,0.0338446319862879
California,2,1.8461538461538465,1.3885505481120584,38.65400552486188,32.51968232044199,0.0390468357793675,0.102557573964829
Colorado,2,3.3851784080512353,3.2528339083292264,34.981308411214954,28.76323987538941,0.0825794609788199,0.298447550492625
Connecticut,2,1.1613438407299876,0.6939854593522803,34.43504531722054,27.68429003021148,0.222855852621099,0.650854414960601
Delaware,2,1.942186088527552,2.343555223136375,24.16115107913669,19.964028776978417,0.135768924800885,0.272931849619093
Florida,2,0.1796407185628743,0.4281345565749236,31.51571946795647,26.14752116082225,0.0361965051019038,0.0953151302246583
Georgia,2,1.3620071684587811,0.2612330198537095,31.306306306306308,26.09109109109109,0.061685182974723,0.15001647616087
Hawaii,2,1.5815085158150852,0.7092198581560284,27.806611570247934,23.186776859504132,0.0334992773290629,0.0723147819922013
Illinois,2,1.2977382276603633,1.2358664212463844,33.20647773279352,27.257085020242915,0.121815067710446,0.274538669880039
Indiana,2,1.5412511332728922,2.225841476655809,33.84869325997249,28.7414030261348,0.0723284841998435,0.237053741775936
Iowa,2,1.566820276497696,1.9037546271813857,30.621451104100945,25.20820189274448,0.0685006261011504,0.0961331062335904
Kansas,2,7.204610951008646,5.955334987593053,34.96190476190476,29.033333333333335,0.0472015250171725,0.0784023928379758
Kentucky,2,5.204460966542751,3.21011673151751,31.63458401305057,26.68515497553018,0.0312255535524985,0.109302081892038
Louisiana,2,1.5817223198594024,2.3617511520737327,37.805882352941175,32.36470588235294,0.129174713875132,0.4000863339564
Maine,2,1.5892420537897312,1.9536019536019535,23.404605263157897,18.70559210526316,0.0544693595251776,0.179620779732398
Maryland,2,1.8010291595197256,1.8374164810690423,36.40071343638525,29.76456599286564,0.153819837130185,0.351798425269508
Massachusetts,2,2.0703253368386463,2.8118040089086858,33.0427807486631,26.381461675579324,0.2502946095212,0.514960315460172
Michigan,2,1.6467065868263473,1.416171767930562,29.193859649122807,24.301754385964912,0.117354246316035,0.462642367930481
Minnesota,2,2.993348115299334,2.6127265065318164,31.80687203791469,25.509478672985782,0.0419475486770158,0.161144962826625
Mississippi,2,2.5094102885821834,2.5906735751295336,27.052730696798495,23.35216572504708,0.0591135585682164,0.11773947599464
Missouri,2,1.9727891156462585,1.702127659574468,34.855842185128985,29,0.0340376313482566,0.112568817374184
Montana,2,1.3888888888888888,1.175606171932403,25.739967897271267,20.834670947030496,0.00908581472715414,0.0232453963219003
Nebraska,2,4,2.444987775061125,30.876847290640395,25.889983579638752,0.0791163143980186,0.087830584561335
Nevada,2,1.5325670498084292,1.4870794734275965,35.26951399116348,30.301914580265095,0.0398875265696487,0.119416359846493
New Hampshire,2,0.4793028322440087,0.3849114703618168,25.403225806451612,20.52016129032258,0.0777655382853437,0.204989671063086
New Jersey,2,1.1428571428571428,1.0189902732746643,34.361647361647364,27.944658944658944,0.311889119022461,0.628717281486072
New Mexico,2,2.2412656558998023,2.3366336633663365,36.33240611961057,30.824756606397777,0.0531215149678228,0.104987676724026
New York,2,0.6561679790026247,0.6884057971014492,29.564638783269963,24.494296577946766,0.368843521685432,0.889873224818683
North Carolina,2,1.96078431372549,2.3655913978494625,29.608641975308643,24.22962962962963,0.0322377495078109,0.094529965942616
North Dakota,2,2.474226804123711,1.714898177920686,28.04722222222222,23.102777777777774,0.0287072246926817,0.0490140632658447
