state,week,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Anxiety,Depression,Covid Cases,Covid Deaths
Alabama,1,2.654867256637168,11.50442477876106,2.654867256637168,8.849557522123893,7.079646017699115,14.159292035398233,26.54867256637168,6.194690265486726,1.769911504424779,18.584070796460175,18.69807497467072,16.181357649442756,0.0579110784529927,0.11368641372067
Alaska,1,4.400977995110025,8.312958435207824,1.466992665036675,13.447432762836186,6.112469437652812,13.93643031784841,24.938875305623473,9.5354523227383865,3.178484107579462,14.669926650366747,13.55677454744926,11.401535929786068,0.0240416430271193,0.0992312305763045
Arizona,1,2.531645569620253,10.759493670886076,0.632911392405063,9.177215189873415,8.860759493670885,9.810126582278482,34.49367088607595,4.746835443037975,0.949367088607595,18.037974683544306,18.17585848074922,15.514568158168574,0.0397927194418579,0.0856358054613023
Arkansas,1,4.683195592286501,10.743801652892564,2.754820936639118,8.539944903581267,9.366391184573002,14.600550964187327,27.272727272727273,5.509641873278237,2.754820936639118,13.774104683195592,20.946067415730337,17.864044943820225,0.0414848994511894,0.0493360168476587
California,1,5.292479108635098,11.420612813370472,3.62116991643454,11.142061281337048,4.735376044568246,17.827298050139277,23.259052924791085,10.30640668523677,2.924791086350975,9.470752089136491,23.458088851634535,19.735331098072088,0.0615479632941357,0.159477838789778
Colorado,1,6.890130353817504,7.4487895716946,1.675977653631285,12.29050279329609,5.027932960893855,17.877094972067038,25.139664804469273,8.379888268156424,1.303538175046555,13.966480446927374,19.0107223476298,15.631489841986456,0.135715538746738,0.501406220959732
Connecticut,1,8.423326133909287,9.503239740820735,6.047516198704104,11.879049676025918,3.887688984881209,16.846652267818573,19.22246220302376,7.127429805615551,3.455723542116631,13.606911447084231,21.731172545281225,17.470924690181125,0.394061593335676,1.03861869181181
Delaware,1,3.29153605015674,10.658307210031348,2.351097178683386,10.658307210031348,5.329153605015674,14.733542319749215,25.078369905956112,8.150470219435737,3.29153605015674,16.4576802507837,13.274308300395257,10.968379446640316,0.20804557542875,0.382971695191692
Florida,1,4.123711340206185,10.309278350515465,0,8.24742268041237,5.154639175257732,19.587628865979383,27.835051546391753,5.154639175257732,2.061855670103093,17.52577319587629,19.663145982648057,16.31384383251603,0.0651913625063865,0.147643724679731
Georgia,1,5.649717514124294,11.864406779661016,2.259887005649718,12.429378531073446,6.779661016949152,16.384180790960453,18.64406779661017,7.344632768361582,6.779661016949152,11.864406779661016,17.589988751406075,14.65973003374578,0.10401757578438,0.246846434108541
Hawaii,1,6.467661691542289,6.467661691542289,3.980099502487562,13.930348258706468,5.472636815920398,14.92537313432836,20.398009950248756,9.45273631840796,3.980099502487562,14.92537313432836,19.630105017502917,16.36872812135356,0.0706307897737837,0.141793690180787
Idaho,1,2.857142857142857,8.571428571428571,0,7.142857142857143,10,5.714285714285714,38.57142857142857,4.285714285714286,1.428571428571429,21.428571428571427,15.322860962566844,12.683823529411764,0.0480612089278451,0.13525644240964
Illinois,1,4.705882352941177,8.529411764705882,2.941176470588236,13.823529411764708,5.588235294117647,15,25.294117647058822,7.941176470588236,2.352941176470588,13.823529411764708,20.9769820971867,17.218670076726344,0.176014123183674,0.395459650624303
Indiana,1,4.25531914893617,10.401891252955084,1.182033096926714,13.947990543735225,4.728132387706856,17.02127659574468,24.113475177304963,7.092198581560283,1.418439716312057,15.839243498817966,21.12274678111588,17.935622317596568,0.111942380147403,0.365205887129463
Iowa,1,5.09915014164306,8.78186968838527,2.26628895184136,9.63172804532578,7.648725212464589,10.76487252124646,29.178470254957507,5.665722379603399,2.26628895184136,18.69688385269122,16.925893635571054,13.933740191804707,0.087013660874326,0.119624045796795
Kansas,1,3.333333333333333,8,0,14,6,13.333333333333334,31.333333333333332,8,0,16,21.07751196172249,17.50334928229665,0.0596882131673316,0.131154148875991
Kentucky,1,5.511811023622047,11.811023622047244,0.78740157480315,10.236220472440944,5.511811023622047,19.68503937007874,22.834645669291337,4.724409448818897,3.149606299212599,15.748031496062993,16.936244541484715,14.28646288209607,0.0472687497605568,0.175936984570923
Louisiana,1,3.559870550161812,8.737864077669903,1.941747572815534,11.97411003236246,5.501618122977346,14.88673139158576,28.155339805825243,6.796116504854369,2.588996763754045,15.857605177993529,22.03542857142857,18.864,0.248152990346086,0.707797680596033
Maine,1,4.972375690607735,9.392265193370166,2.762430939226519,9.94475138121547,5.524861878453039,7.734806629834254,34.25414364640884,4.972375690607735,3.314917127071823,17.12707182320442,12.417102966841188,9.924083769633508,0.0899286751109684,0.320784891219217
Maryland,1,5.970149253731344,11.194029850746269,0.746268656716418,6.716417910447761,8.955223880597014,11.940298507462687,32.83582089552239,3.73134328358209,4.477611940298507,13.432835820895525,18.587128111718275,15.198542805100182,0.223428647501423,0.502466193468949
Massachusetts,1,6.099518459069021,8.346709470304976,4.333868378812199,9.791332263242376,5.93900481540931,16.53290529695024,23.434991974317818,7.865168539325842,4.49438202247191,13.162118780096309,19.730707823310272,15.753060138371474,0.42342756112954,0.76459014712073
Michigan,1,4.643962848297214,9.287925696594428,0.928792569659443,11.145510835913312,6.811145510835913,18.575851393188856,22.291021671826627,6.191950464396285,3.095975232198143,17.027863777089784,16.928280773143438,14.091556459816887,0.218880469819841,0.808816643162272
Minnesota,1,6.378600823045267,9.25925925925926,2.263374485596708,8.847736625514404,6.584362139917696,18.930041152263374,23.045267489711936,6.790123456790123,4.11522633744856,13.786008230452676,18.249490142760028,14.636301835486064,0.0412188964051988,0.202633955620591
Mississippi,1,4.123711340206185,9.278350515463918,3.608247422680412,11.340206185567013,8.24742268041237,12.88659793814433,25.25773195876289,6.701030927835052,2.577319587628866,15.979381443298967,17.080856123662308,14.74435196195006,0.0907384767374529,0.15544568180768
Missouri,1,4.021937842778794,12.431444241316273,2.925045703839122,10.420475319926874,6.215722120658135,14.990859232175502,23.948811700182816,7.861060329067642,4.204753199268739,12.979890310786104,19.870242214532873,16.532006920415224,0.056973391240664,0.162168977796143
Montana,1,1.744186046511628,15.116279069767442,0,10.465116279069768,7.558139534883721,8.13953488372093,34.883720930232556,5.232558139534884,1.162790697674419,15.697674418604652,13.363333333333332,10.816666666666666,0.0193412216046401,0.0477014903688996
Nebraska,1,2.654867256637168,6.194690265486726,0.884955752212389,7.079646017699115,9.734513274336283,12.389380530973453,31.858407079646017,5.309734513274337,2.654867256637168,21.238938053097343,16.552816901408452,13.879401408450704,0.0880639928120802,0.126866399921928
Nevada,1,4.426559356136821,10.261569416498991,2.21327967806841,10.865191146881289,7.847082494969819,14.084507042253522,24.748490945674043,8.651911468812877,2.21327967806841,14.688128772635816,20.57388316151203,17.67611683848797,0.0708359725465112,0.197988298625316
New Hampshire,1,4.605263157894737,13.815789473684212,0.657894736842105,13.157894736842104,5.263157894736842,12.5,24.342105263157897,5.921052631578948,3.289473684210526,16.44736842105263,13.765477057538238,11.11944646758922,0.117795360822351,0.241273372530325
New Jersey,1,4.838709677419355,11.290322580645162,2.150537634408602,9.67741935483871,5.913978494623656,15.591397849462366,22.580645161290324,6.451612903225806,5.913978494623656,15.591397849462366,19.50255661066472,15.860482103725348,0.56952825690993,1.01358947995393
New Mexico,1,3.776978417266187,9.532374100719425,1.798561151079137,9.892086330935252,7.1942446043165464,14.20863309352518,26.25899280575539,7.733812949640288,3.5971223021582732,16.007194244604317,20.53694968553459,17.42374213836478,0.0766661421540288,0.138250211365028
New York,1,5.185185185185185,8.148148148148149,4.444444444444445,12.592592592592592,4.444444444444445,17.77777777777778,17.037037037037038,12.592592592592592,3.703703703703704,14.074074074074074,18.316843345111895,15.17550058892815,0.714603799889675,1.65675444161873
North Carolina,1,3.603603603603604,8.108108108108109,0.900900900900901,16.216216216216218,4.954954954954955,15.765765765765764,23.423423423423426,10.36036036036036,2.702702702702703,13.963963963963964,17.021291696238467,13.92902767920511,0.048329373573526103,0.134990262649572
North Dakota,1,4,8,2.4,7.2,6.4,12.8,32.8,6.4,2.4,17.6,12.911764705882351,10.635549872122764,0.042547744108995,0.0615032236172379
Ohio,1,4.838709677419355,11.290322580645162,3.763440860215054,10.75268817204301,3.763440860215054,19.35483870967742,20.967741935483872,10.21505376344086,4.838709677419355,10.21505376344086,16.62124711316397,14.041570438799075,0.0796375152288008,0.224899312532803
Oklahoma,1,4.819277108433735,10.040160642570282,2.409638554216868,9.236947791164658,7.630522088353414,15.662650602409638,25.70281124497992,8.032128514056225,2.409638554216868,14.056224899598394,21.332320162107397,17.965552178318134,0.0369273956031186,0.167046071630219
Oregon,1,6.926406926406926,7.792207792207792,3.03030303030303,7.359307359307359,6.926406926406926,14.285714285714286,19.48051948051948,7.359307359307359,8.225108225108226,18.614718614718615,22.104750304506695,18.557856272838,0.0587913758636376,0.178112396401188
Pennsylvania,1,7.017543859649122,8.991228070175438,4.385964912280702,13.596491228070176,3.947368421052631,16.885964912280702,19.73684210526316,8.771929824561404,4.605263157894737,12.06140350877193,18.37289058247142,15.296679368535656,0.202610167235811,0.404246688948237
Rhode Island,1,4.794520547945205,10.95890410958904,2.73972602739726,10.95890410958904,7.534246575342466,12.328767123287673,26.027397260273972,8.219178082191782,4.794520547945205,11.643835616438356,16.67146017699115,13.321902654867255,0.273359353635444,0.423591514761767
South Carolina,1,2.67379679144385,11.229946524064172,2.13903743315508,11.764705882352942,3.74331550802139,16.042780748663102,24.59893048128342,8.556149732620321,2.13903743315508,17.112299465240643,15.35093419983753,12.825345247766045,0.0474754710990535,0.106694533439197
South Dakota,1,3.529411764705882,10,0.588235294117647,7.647058823529412,6.470588235294118,11.764705882352942,31.764705882352946,5.294117647058823,3.529411764705882,19.41176470588235,18.369631901840492,14.77760736196319,0.0901146294868554,0.0382246193305722
Tennessee,1,3.370786516853932,5.617977528089888,1.123595505617978,12.359550561797754,6.741573033707865,11.235955056179776,30.337078651685392,6.741573033707865,3.370786516853932,19.10112359550562,18.86522462562396,15.920965058236272,0.0589713694381893,0.0785980968871505
