"","state","week","total_cases","total_deaths","total_cases_us","total_deaths_us","total_cases_state_all_weeks","total_deaths_state_all_weeks","percentage_cases_spatial","percentage_deaths_spatial","percentage_cases_bar","percentage_deaths_bar"
"18","Alabama",18,2553117,38988,123742353,3032206,157337771,2922073,2.06325234497521,1.28579654548537,1.62269808690756,1.33425824748389
"19","Alabama",19,2881699,43279,149140694,3242863,157337771,2922073,1.93220168333131,1.33459230315928,1.83153668803405,1.48110605039641
"20","Alabama",20,3309876,48017,180323778,3537929,157337771,2922073,1.83551833081048,1.35720643348128,2.10367541052809,1.64325121240982
"21","Alabama",21,3940630,54450,218484424,3967089,157337771,2922073,1.80362056381649,1.37254294017603,2.50456706927671,1.86340313879906
"22","Alabama",22,5291012,72913,297414902,4959558,157337771,2922073,1.77900030039517,1.47015117072933,3.36283650541865,2.49524909199736
"23","Alabama",23,5801291,91043,331246599,5536919,157337771,2922073,1.75135111349475,1.64428990201952,3.68715723066904,3.11569902599969
"24","Alabama",24,6168642,113964,353902473,6107034,157337771,2922073,1.74303444327726,1.86611045558286,3.92063645035368,3.90010790284842
"25","Alabama",25,6354949,126011,367750323,6540703,157337771,2922073,1.72806075278417,1.92656660912443,4.03904857658114,4.31238370841522
"26","Alabama",26,6515634,132654,379269903,6856950,157337771,2922073,1.71794122034513,1.93459191039748,4.14117599263561,4.5397223135767
"27","Alabama",27,6658729,136029,389709216,7073156,157337771,2922073,1.70864037251816,1.92317262619402,4.2321236392754,4.65522250813036
"28","Alabama",28,6807873,140396,413555826,7388536,157337771,2922073,1.64617992831759,1.90018699238929,4.32691588086627,4.80467120431283
"29","Alabama",29,6879600,142090,422815728,7515404,157337771,2922073,1.62709179068192,1.89065018992991,4.37250378995136,4.8626437464088
"30","Alabama",30,7013343,143717,429112805,7628850,157337771,2922073,1.63438212942632,1.88386191889997,4.45750753644527,4.91832339575363
"31","Alabama",31,7076378,145184,432772697,7733730,157337771,2922073,1.63512579445371,1.87728301867275,4.49757102507827,4.96852748031962
"32","Alabama",32,7123615,146659,434955807,7800559,157337771,2922073,1.63777903073266,1.88010884860944,4.52759369522274,5.01900534312456
"33","Alabama",33,7156650,147476,437380590,7853097,157337771,2922073,1.63625230831574,1.87793427230047,4.54858992504731,5.04696494577651
"34","Alabama",34,7483272,149493,451183101,7948347,157337771,2922073,1.65858871562656,1.88080616007328,4.75618279859831,5.11599128426976
"35","Alabama",35,8012913,151796,470282286,8038989,157337771,2922073,1.70385175851595,1.88824739031239,5.09280953268367,5.19480519480519
"36","Alabama",36,8701521,156647,496698578,8212460,157337771,2922073,1.75187153445001,1.90743090377305,5.53047176446907,5.36081747444366
"37","Alabama",37,9476165,162352,525106961,8480704,157337771,2922073,1.80461614562371,1.91436937310865,6.0228163522159,5.55605558108918
"38","Alabama",38,10083202,175230,551080385,8831887,157337771,2922073,1.82971527828921,1.98406071092169,6.40863407172585,5.99677010122608
"39","Alabama",39,10434995,189461,570984508,9178044,157337771,2922073,1.82754432980168,2.06428515705525,6.63222501099243,6.48378736602405
"40","Alaska",1,4574,91,13644993,786250,19025322,91705,0.0335214536203866,0.0115739268680445,0.0240416430271193,0.0992312305763045
"41","Alaska",2,2267,48,7940175,474933,19025322,91705,0.0285510080067505,0.0101066887329371,0.0119156984570353,0.0523417479962925
"42","Alaska",3,2361,48,8896630,534045,19025322,91705,0.026538138598548,0.00898800662865489,0.0124097768226998,0.0523417479962925
"43","Alaska",4,2452,48,9837494,582599,19025322,91705,0.0249250469682624,0.00823894308091844,0.0128880867298856,0.0523417479962925
"44","Alaska",5,2749,48,10727153,623896,19025322,91705,0.02562655720488,0.00769358995730058,0.0144491641192722,0.0523417479962925
"45","Alaska",6,3501,49,11646234,661268,19025322,91705,0.0300612197900197,0.00741000623045422,0.0184017910445878,0.0534322010795486
"46","Alaska",7,4299,59,12570310,693159,19025322,91705,0.0341996338992435,0.00851175560008598,0.0225962009999095,0.0643367319121095
"47","Alaska",8,5094,60,13688447,718836,19025322,91705,0.0372138636325947,0.00834682737091631,0.0267748424967525,0.0654271849953656
"48","Alaska",9,6276,70,15271347,754416,19025322,91705,0.0410965712454835,0.00927870034569787,0.0329876151373417,0.0763317158279265
"49","Alaska",10,8042,82,17321941,779487,19025322,91705,0.046426667773548,0.0105197392644136,0.042269981028442,0.0894171528269996
"50","Alaska",11,10268,90,19735326,808303,19025322,91705,0.0520285299568905,0.0111344384469685,0.0539701772196024,0.0981407774930484
"51","Alaska",12,13484,94,22513159,840740,19025322,91705,0.0598938602974376,0.0111806265908604,0.0708739647087182,0.102502589826073
"52","Alaska",13,73664,408,75392468,2322210,19025322,91705,0.0977073731025757,0.0175694704613278,0.387189241790494,0.444904857968486
"53","Alaska",14,87294,507,82613109,2473036,19025322,91705,0.105666039030198,0.0205011168458526,0.45883060481184,0.552859713210839
"54","Alaska",15,102265,577,89958441,2613757,19025322,91705,0.113680271537832,0.0220755028107051,0.537520468773144,0.629191429038766
"55","Alaska",16,125652,709,98283032,2744562,19025322,91705,0.127847093687545,0.0258329015704509,0.660446114919895,0.77313123602857
"56","Alaska",17,162137,819,108710383,2877454,19025322,91705,0.14914582722057,0.0284626617836462,0.852216850784444,0.89308107518674
"57","Alaska",18,226898,1002,123742353,3032206,19025322,91705,0.183363249929472,0.0330452482450071,1.19261056396312,1.09263398942261
"58","Alaska",19,321715,1214,149140694,3242863,19025322,91705,0.215712419844312,0.0374360557322341,1.6909832064866,1.3238100430729
"59","Alaska",20,431840,1583,180323778,3537929,19025322,91705,0.239480341854861,0.0447436904471514,2.26981703647381,1.72618723079439
"60","Alaska",21,540609,2176,218484424,3967089,19025322,91705,0.247435945365149,0.0548513028066676,2.84152352322867,2.37282590916526
"61","Alaska",22,654245,2816,297414902,4959558,19025322,91705,0.219977208808454,0.0567792533124928,3.43881170578874,3.07071588244916
"62","Alaska",23,691419,3252,331246599,5536919,19025322,91705,0.208732407242014,0.0587330246297625,3.63420393095055,3.54615342674881
"63","Alaska",24,720175,3505,353902473,6107034,19025322,91705,0.203495328499725,0.0573928358676241,3.78534986162126,3.82203805681261
"64","Alaska",25,746003,3630,367750323,6540703,19025322,91705,0.202855838144294,0.0554986214784558,3.92110577681681,3.95834469221962
"65","Alaska",26,771117,3790,379269903,6856950,19025322,91705,0.203316159257699,0.0552723878692422,4.05310879889444,4.13281718554059
"66","Alaska",27,795297,3864,389709216,7073156,19025322,91705,0.204074465613869,0.0546290792964272,4.18020257423238,4.21351071370154
"67","Alaska",28,857191,4128,413555826,7388536,19025322,91705,0.207273346452626,0.0558703375066454,4.5055268972583,4.50139032768115
"68","Alaska",29,883229,4303,422815728,7515404,19025322,91705,0.208892181986191,0.0572557376822324,4.64238660454735,4.69221961725097
"69","Alaska",30,898161,4490,429112805,7628850,19025322,91705,0.209306501585288,0.0588555286838777,4.72087147854843,4.89613434381986
"70","Alaska",31,906564,4576,432772697,7733730,19025322,91705,0.209478094686736,0.0591693788120351,4.76503893074714,4.98991330897988
"71","Alaska",32,912060,4620,434955807,7800559,19025322,91705,0.209690268602392,0.0592265246631684,4.79392674668003,5.03789324464315
"72","Alaska",33,917937,4659,437380590,7853097,19025322,91705,0.20987145314336,0.0593269126817102,4.82481715683971,5.08042091489014
"73","Alaska",34,961325,4791,451183101,7948347,19025322,91705,0.213067598912575,0.060276683944473,5.05287111566364,5.22436072187994
"74","Alaska",35,1014372,4978,470282286,8038989,19025322,91705,0.215694281965789,0.0619232094981098,5.33169425463601,5.42827544844883
"75","Alaska",36,1094162,5314,496698578,8212460,19025322,91705,0.220286920169117,0.0647065556483685,5.75108268863991,5.79466768442288
"76","Alaska",37,1195504,5662,525106961,8480704,19025322,91705,0.227668663489685,0.0667633253088423,6.28375172835445,6.174145357396
"77","Alaska",38,1339839,6193,551080385,8831887,19025322,91705,0.243129502785696,0.0701209152698625,7.04239854652657,6.75317594460498
"78","Alaska",39,1529281,7352,570984508,9178044,19025322,91705,0.267832310434594,0.0801042139261917,8.03813465023089,8.01701106809879
"79","American Samoa",38,6,0,551080385,8831887,19,0,1.08877037966067e-06,0,31.5789473684211,NA
"80","American Samoa",39,13,0,570984508,9178044,19,0,2.27676930246941e-06,0,68.4210526315789,NA
"81","Arizona",1,96324,4081,13644993,786250,242064381,4765530,0.70592927383693,0.519046104928458,0.0397927194418579,0.0856358054613023
"82","Arizona",2,65666,3139,7940175,474933,242064381,4765530,0.827009480269641,0.66093533193103,0.0271274938215714,0.0658688540414183
